filepath,label,source,cough_source,noise_source,snr_db
C:\py\pigsound\pig-sound-classification\data\augmented\round4_noise_mix_v2\cough\mix_00010__snr0__cough_ALA_000347_rank002_p0.949_src99.70-100.70_clip99.70-100.70__noise_ALA_E_2_2020-09-30_00-09-47_321__rank011__p0.968__275.70-277.50.wav,cough,noise_mixed_cough,C:\py\pigsound\pig-sound-classification\det_round1_clips\cough_clean\ALA_000347_rank002_p0.949_src99.70-100.70_clip99.70-100.70.wav,C:\py\pigsound\pig-sound-classification\det_round4_clips\reviewed\other_clean\pig_whistle_squeal\ALA_E_2_2020-09-30_00-09-47_321__rank011__p0.968__275.70-277.50.wav,0.0
C:\py\pigsound\pig-sound-classification\data\augmented\round4_noise_mix_v2\cough\mix_00011__snr10__cough_ALA_E_2_2020-09-30_01-03-51_362__rank008__p0.960__243.20-245.70__noise_ALA_E_2_2020-09-30_00-33-49_105__rank017__p0.907__84.90-87.00.wav,cough,noise_mixed_cough,C:\py\pigsound\pig-sound-classification\det_round4_clips\reviewed\cough_clean\ALA_E_2_2020-09-30_01-03-51_362__rank008__p0.960__243.20-245.70.wav,C:\py\pigsound\pig-sound-classification\det_round4_clips\reviewed\other_clean\pig_whistle_squeal\ALA_E_2_2020-09-30_00-33-49_105__rank017__p0.907__84.90-87.00.wav,10.0
C:\py\pigsound\pig-sound-classification\data\augmented\round4_noise_mix_v2\cough\mix_00012__snr5__cough_ALA_E_2_2020-09-30_00-03-47_130__rank004__p0.997__145.50-147.80__noise_ALA_E_2_2020-09-30_01-33-53_320__rank015__p0.892__81.60-83.40.wav,cough,noise_mixed_cough,C:\py\pigsound\pig-sound-classification\det_round4_clips\reviewed\cough_clean\ALA_E_2_2020-09-30_00-03-47_130__rank004__p0.997__145.50-147.80.wav,C:\py\pigsound\pig-sound-classification\det_round4_clips\reviewed\other_clean\fan_noise\ALA_E_2_2020-09-30_01-33-53_320__rank015__p0.892__81.60-83.40.wav,5.0
C:\py\pigsound\pig-sound-classification\data\augmented\round4_noise_mix_v2\cough\mix_00013__snr0__cough_ALA_000347_oldv1_rank066_p0.563_src300.30-301.30_clip300.30-301.30__noise_ALA_E_2_2020-09-30_00-45-49_855__rank014__p0.884__156.20-158.40.wav,cough,noise_mixed_cough,C:\py\pigsound\pig-sound-classification\det_round1_clips\cough_clean\ALA_000347_oldv1_rank066_p0.563_src300.30-301.30_clip300.30-301.30.wav,C:\py\pigsound\pig-sound-classification\det_round4_clips\reviewed\other_clean\fan_noise\ALA_E_2_2020-09-30_00-45-49_855__rank014__p0.884__156.20-158.40.wav,0.0
C:\py\pigsound\pig-sound-classification\data\augmented\round4_noise_mix_v2\cough\mix_00014__snr5__cough_ALA_000347_oldv1_rank024_p0.843_src18.00-19.00_clip18.00-19.00__noise_ALA_000347_oldv1_rank007_p0.897_src230.50-231.50_clip230.50-231.50.wav,cough,noise_mixed_cough,C:\py\pigsound\pig-sound-classification\det_round1_clips\cough_clean\ALA_000347_oldv1_rank024_p0.843_src18.00-19.00_clip18.00-19.00.wav,C:\py\pigsound\pig-sound-classification\det_round1_clips\other_clean\ALA_000347_oldv1_rank007_p0.897_src230.50-231.50_clip230.50-231.50.wav,5.0
C:\py\pigsound\pig-sound-classification\data\augmented\round4_noise_mix_v2\cough\mix_00015__snr10__cough_ALA_000347_oldv1_rank045_p0.735_src201.90-202.90_clip201.90-202.90__noise_ALA_000347_oldv1_rank070_p0.691_src261.40-262.40_clip261.40-262.40.wav,cough,noise_mixed_cough,C:\py\pigsound\pig-sound-classification\det_round1_clips\cough_clean\ALA_000347_oldv1_rank045_p0.735_src201.90-202.90_clip201.90-202.90.wav,C:\py\pigsound\pig-sound-classification\det_round1_clips\other_clean\ALA_000347_oldv1_rank070_p0.691_src261.40-262.40_clip261.40-262.40.wav,10.0
C:\py\pigsound\pig-sound-classification\data\augmented\round4_noise_mix_v2\cough\mix_00016__snr10__cough_ALA_000347_oldv1_rank065_p0.670_src333.10-334.10_clip333.10-334.10__noise_ALA_000347_v2_rank025_p0.801_src307.60-308.60_clip307.60-308.60.wav,cough,noise_mixed_cough,C:\py\pigsound\pig-sound-classification\det_round1_clips\cough_clean\ALA_000347_oldv1_rank065_p0.670_src333.10-334.10_clip333.10-334.10.wav,C:\py\pigsound\pig-sound-classification\det_round1_clips\other_clean\ALA_000347_v2_rank025_p0.801_src307.60-308.60_clip307.60-308.60.wav,10.0
C:\py\pigsound\pig-sound-classification\data\augmented\round4_noise_mix_v2\cough\mix_00017__snr10__cough_ALA_000347_oldv1_rank010_p0.887_src11.70-12.70_clip11.70-12.70__noise_ALA_000347_oldv1_rank030_p0.898_src26.00-27.00_clip26.00-27.00.wav,cough,noise_mixed_cough,C:\py\pigsound\pig-sound-classification\det_round1_clips\cough_clean\ALA_000347_oldv1_rank010_p0.887_src11.70-12.70_clip11.70-12.70.wav,C:\py\pigsound\pig-sound-classification\det_round1_clips\other_clean\ALA_000347_oldv1_rank030_p0.898_src26.00-27.00_clip26.00-27.00.wav,10.0
C:\py\pigsound\pig-sound-classification\data\augmented\round4_noise_mix_v2\cough\mix_00018__snr0__cough_ALA_000347_oldv1_rank002_p0.914_src283.90-284.90_clip283.90-284.90__noise_ALA_000347_oldv1_rank002_p0.943_src216.70-217.70_clip216.70-217.70.wav,cough,noise_mixed_cough,C:\py\pigsound\pig-sound-classification\det_round1_clips\cough_clean\ALA_000347_oldv1_rank002_p0.914_src283.90-284.90_clip283.90-284.90.wav,C:\py\pigsound\pig-sound-classification\det_round1_clips\other_clean\ALA_000347_oldv1_rank002_p0.943_src216.70-217.70_clip216.70-217.70.wav,0.0
C:\py\pigsound\pig-sound-classification\data\augmented\round4_noise_mix_v2\cough\mix_00019__snr0__cough_ALA_E_2_2020-09-30_00-51-50_372__rank013__p0.975__331.10-333.20__noise_ALA_000347_oldv1_rank066_p0.692_src146.50-147.50_clip146.50-147.50.wav,cough,noise_mixed_cough,C:\py\pigsound\pig-sound-classification\det_round4_clips\reviewed\cough_clean\ALA_E_2_2020-09-30_00-51-50_372__rank013__p0.975__331.10-333.20.wav,C:\py\pigsound\pig-sound-classification\det_round1_clips\other_clean\ALA_000347_oldv1_rank066_p0.692_src146.50-147.50_clip146.50-147.50.wav,0.0
C:\py\pigsound\pig-sound-classification\data\augmented\round4_noise_mix_v2\cough\mix_00020__snr10__cough_ALA_E_2_2020-09-30_00-03-47_130__rank019__p0.986__195.30-197.60__noise_ALA_000347_oldv1_rank054_p0.756_src106.60-107.60_clip106.60-107.60.wav,cough,noise_mixed_cough,C:\py\pigsound\pig-sound-classification\det_round4_clips\reviewed\cough_clean\ALA_E_2_2020-09-30_00-03-47_130__rank019__p0.986__195.30-197.60.wav,C:\py\pigsound\pig-sound-classification\det_round1_clips\other_clean\ALA_000347_oldv1_rank054_p0.756_src106.60-107.60_clip106.60-107.60.wav,10.0
C:\py\pigsound\pig-sound-classification\data\augmented\round4_noise_mix_v2\cough\mix_00021__snr0__cough_ALA_000347_oldv1_rank050_p0.791_src276.20-277.20_clip276.20-277.20__noise_ALA_E_2_2020-09-30_01-45-54_312__rank012__p0.952__127.30-129.30.wav,cough,noise_mixed_cough,C:\py\pigsound\pig-sound-classification\det_round1_clips\cough_clean\ALA_000347_oldv1_rank050_p0.791_src276.20-277.20_clip276.20-277.20.wav,C:\py\pigsound\pig-sound-classification\det_round4_clips\reviewed\other_clean\equipment\ALA_E_2_2020-09-30_01-45-54_312__rank012__p0.952__127.30-129.30.wav,0.0
C:\py\pigsound\pig-sound-classification\data\augmented\round4_noise_mix_v2\cough\mix_00022__snr5__cough_ALA_000347_oldv1_rank029_p0.815_src47.90-48.90_clip47.90-48.90__noise_ALA_000347_oldv1_rank040_p0.852_src246.60-247.60_clip246.60-247.60.wav,cough,noise_mixed_cough,C:\py\pigsound\pig-sound-classification\det_round1_clips\cough_clean\ALA_000347_oldv1_rank029_p0.815_src47.90-48.90_clip47.90-48.90.wav,C:\py\pigsound\pig-sound-classification\det_round1_clips\other_clean\ALA_000347_oldv1_rank040_p0.852_src246.60-247.60_clip246.60-247.60.wav,5.0
C:\py\pigsound\pig-sound-classification\data\augmented\round4_noise_mix_v2\cough\mix_00023__snr0__cough_ALA_E_2_2020-09-30_00-57-50_867__rank019__p0.840__8.80-10.50__noise_ALA_000347_oldv1_rank018_p0.934_src136.50-137.50_clip136.50-137.50.wav,cough,noise_mixed_cough,C:\py\pigsound\pig-sound-classification\det_round4_clips\reviewed\cough_clean\ALA_E_2_2020-09-30_00-57-50_867__rank019__p0.840__8.80-10.50.wav,C:\py\pigsound\pig-sound-classification\det_round1_clips\other_clean\ALA_000347_oldv1_rank018_p0.934_src136.50-137.50_clip136.50-137.50.wav,0.0
C:\py\pigsound\pig-sound-classification\data\augmented\round4_noise_mix_v2\cough\mix_00024__snr0__cough_ALA_E_2_2020-09-30_00-03-47_130__rank010__p0.994__269.20-271.30__noise_ALA_E_2_2020-09-30_01-39-53_821__rank018__p0.762__328.30-329.80.wav,cough,noise_mixed_cough,C:\py\pigsound\pig-sound-classification\det_round4_clips\reviewed\cough_clean\ALA_E_2_2020-09-30_00-03-47_130__rank010__p0.994__269.20-271.30.wav,C:\py\pigsound\pig-sound-classification\det_round4_clips\reviewed\other_clean\fan_noise\ALA_E_2_2020-09-30_01-39-53_821__rank018__p0.762__328.30-329.80.wav,0.0
C:\py\pigsound\pig-sound-classification\data\augmented\round4_noise_mix_v2\cough\mix_00025__snr5__cough_ALA_000347_oldv1_rank065_p0.714_src21.00-22.00_clip21.00-22.00__noise_ALA_E_2_2020-09-30_01-27-52_851__rank013__p0.857__25.90-27.50.wav,cough,noise_mixed_cough,C:\py\pigsound\pig-sound-classification\det_round1_clips\cough_clean\ALA_000347_oldv1_rank065_p0.714_src21.00-22.00_clip21.00-22.00.wav,C:\py\pigsound\pig-sound-classification\det_round4_clips\reviewed\other_clean\fan_noise\ALA_E_2_2020-09-30_01-27-52_851__rank013__p0.857__25.90-27.50.wav,5.0
C:\py\pigsound\pig-sound-classification\data\augmented\round4_noise_mix_v2\cough\mix_00026__snr5__cough_ALA_000347_rank046_p0.774_src318.20-319.20_clip318.20-319.20__noise_ALA_000347_oldv1_rank018_p0.553_src167.70-168.70_clip167.70-168.70.wav,cough,noise_mixed_cough,C:\py\pigsound\pig-sound-classification\det_round1_clips\cough_clean\ALA_000347_rank046_p0.774_src318.20-319.20_clip318.20-319.20.wav,C:\py\pigsound\pig-sound-classification\det_round1_clips\other_clean\ALA_000347_oldv1_rank018_p0.553_src167.70-168.70_clip167.70-168.70.wav,5.0
C:\py\pigsound\pig-sound-classification\data\augmented\round4_noise_mix_v2\cough\mix_00027__snr10__cough_ALA_000347_oldv1_rank051_p0.754_src308.80-309.80_clip308.80-309.80__noise_ALA_000347_oldv1_rank014_p0.904_src247.70-248.70_clip247.70-248.70.wav,cough,noise_mixed_cough,C:\py\pigsound\pig-sound-classification\det_round1_clips\cough_clean\ALA_000347_oldv1_rank051_p0.754_src308.80-309.80_clip308.80-309.80.wav,C:\py\pigsound\pig-sound-classification\det_round1_clips\other_clean\ALA_000347_oldv1_rank014_p0.904_src247.70-248.70_clip247.70-248.70.wav,10.0
C:\py\pigsound\pig-sound-classification\data\augmented\round4_noise_mix_v2\cough\mix_00028__snr0__cough_ALA_E_2_2020-09-30_00-03-47_130__rank010__p0.994__269.20-271.30__noise_ALA_E_2_2020-09-30_01-51-54_564__rank017__p0.854__237.40-239.00.wav,cough,noise_mixed_cough,C:\py\pigsound\pig-sound-classification\det_round4_clips\reviewed\cough_clean\ALA_E_2_2020-09-30_00-03-47_130__rank010__p0.994__269.20-271.30.wav,C:\py\pigsound\pig-sound-classification\det_round4_clips\reviewed\other_clean\equipment\ALA_E_2_2020-09-30_01-51-54_564__rank017__p0.854__237.40-239.00.wav,0.0
C:\py\pigsound\pig-sound-classification\data\augmented\round4_noise_mix_v2\cough\mix_00029__snr5__cough_ALA_E_2_2020-09-30_00-51-50_372__rank012__p0.976__171.00-173.20__noise_ALA_000347_oldv1_rank039_p0.863_src237.00-238.00_clip237.00-238.00.wav,cough,noise_mixed_cough,C:\py\pigsound\pig-sound-classification\det_round4_clips\reviewed\cough_clean\ALA_E_2_2020-09-30_00-51-50_372__rank012__p0.976__171.00-173.20.wav,C:\py\pigsound\pig-sound-classification\det_round1_clips\other_clean\ALA_000347_oldv1_rank039_p0.863_src237.00-238.00_clip237.00-238.00.wav,5.0
C:\py\pigsound\pig-sound-classification\data\augmented\round4_noise_mix_v2\cough\mix_00030__snr0__cough_ALA_E_2_2020-09-30_00-03-47_130__rank011__p0.992__321.90-324.30__noise_ALA_E_2_2020-09-30_00-15-47_817__rank007__p0.980__67.00-69.70.wav,cough,noise_mixed_cough,C:\py\pigsound\pig-sound-classification\det_round4_clips\reviewed\cough_clean\ALA_E_2_2020-09-30_00-03-47_130__rank011__p0.992__321.90-324.30.wav,C:\py\pigsound\pig-sound-classification\det_round4_clips\reviewed\other_clean\pig_whistle_squeal\ALA_E_2_2020-09-30_00-15-47_817__rank007__p0.980__67.00-69.70.wav,0.0
C:\py\pigsound\pig-sound-classification\data\augmented\round4_noise_mix_v2\cough\mix_00031__snr5__cough_ALA_000347_oldv1_rank066_p0.669_src75.70-76.70_clip75.70-76.70__noise_ALA_000347_v2_rank020_p0.831_src190.80-191.80_clip190.80-191.80.wav,cough,noise_mixed_cough,C:\py\pigsound\pig-sound-classification\det_round1_clips\cough_clean\ALA_000347_oldv1_rank066_p0.669_src75.70-76.70_clip75.70-76.70.wav,C:\py\pigsound\pig-sound-classification\det_round1_clips\other_clean\ALA_000347_v2_rank020_p0.831_src190.80-191.80_clip190.80-191.80.wav,5.0
C:\py\pigsound\pig-sound-classification\data\augmented\round4_noise_mix_v2\cough\mix_00032__snr10__cough_ALA_E_2_2020-09-30_00-51-50_372__rank012__p0.976__171.00-173.20__noise_ALA_E_2_2020-09-30_01-15-52_167__rank010__p0.961__165.30-167.50.wav,cough,noise_mixed_cough,C:\py\pigsound\pig-sound-classification\det_round4_clips\reviewed\cough_clean\ALA_E_2_2020-09-30_00-51-50_372__rank012__p0.976__171.00-173.20.wav,C:\py\pigsound\pig-sound-classification\det_round4_clips\reviewed\other_clean\mixed_noise\ALA_E_2_2020-09-30_01-15-52_167__rank010__p0.961__165.30-167.50.wav,10.0
C:\py\pigsound\pig-sound-classification\data\augmented\round4_noise_mix_v2\cough\mix_00033__snr5__cough_ALA_000347_oldv1_rank074_p0.654_src122.50-123.50_clip122.50-123.50__noise_ALA_E_2_2020-09-30_00-39-49_327__rank003__p0.948__304.50-306.30.wav,cough,noise_mixed_cough,C:\py\pigsound\pig-sound-classification\det_round1_clips\cough_clean\ALA_000347_oldv1_rank074_p0.654_src122.50-123.50_clip122.50-123.50.wav,C:\py\pigsound\pig-sound-classification\det_round4_clips\reviewed\other_clean\fan_noise\ALA_E_2_2020-09-30_00-39-49_327__rank003__p0.948__304.50-306.30.wav,5.0
C:\py\pigsound\pig-sound-classification\data\augmented\round4_noise_mix_v2\cough\mix_00034__snr10__cough_ALA_000347_oldv1_rank020_p0.754_src310.90-311.90_clip310.90-311.90__noise_ALA_000347_v2_rank036_p0.792_src193.50-194.50_clip193.50-194.50.wav,cough,noise_mixed_cough,C:\py\pigsound\pig-sound-classification\det_round1_clips\cough_clean\ALA_000347_oldv1_rank020_p0.754_src310.90-311.90_clip310.90-311.90.wav,C:\py\pigsound\pig-sound-classification\det_round1_clips\other_clean\ALA_000347_v2_rank036_p0.792_src193.50-194.50_clip193.50-194.50.wav,10.0
C:\py\pigsound\pig-sound-classification\data\augmented\round4_noise_mix_v2\cough\mix_00035__snr10__cough_ALA_000347_oldv1_rank030_p0.787_src2.30-3.30_clip2.30-3.30__noise_ALA_E_2_2020-09-30_00-57-50_867__rank017__p0.858__93.20-95.10.wav,cough,noise_mixed_cough,C:\py\pigsound\pig-sound-classification\det_round1_clips\cough_clean\ALA_000347_oldv1_rank030_p0.787_src2.30-3.30_clip2.30-3.30.wav,C:\py\pigsound\pig-sound-classification\det_round4_clips\reviewed\other_clean\fan_noise\ALA_E_2_2020-09-30_00-57-50_867__rank017__p0.858__93.20-95.10.wav,10.0
C:\py\pigsound\pig-sound-classification\data\augmented\round4_noise_mix_v2\cough\mix_00036__snr10__cough_ALA_E_2_2020-09-30_00-51-50_372__rank011__p0.977__359.30-361.50__noise_ALA_000347_v2_rank037_p0.783_src132.40-133.40_clip132.40-133.40.wav,cough,noise_mixed_cough,C:\py\pigsound\pig-sound-classification\det_round4_clips\reviewed\cough_clean\ALA_E_2_2020-09-30_00-51-50_372__rank011__p0.977__359.30-361.50.wav,C:\py\pigsound\pig-sound-classification\det_round1_clips\other_clean\ALA_000347_v2_rank037_p0.783_src132.40-133.40_clip132.40-133.40.wav,10.0
C:\py\pigsound\pig-sound-classification\data\augmented\round4_noise_mix_v2\cough\mix_00037__snr5__cough_ALA_E_2_2020-09-30_01-15-52_167__rank008__p0.964__313.30-316.20__noise_ALA_E_2_2020-09-29_23-57-46_617__rank015__p0.982__317.90-319.80.wav,cough,noise_mixed_cough,C:\py\pigsound\pig-sound-classification\det_round4_clips\reviewed\cough_clean\ALA_E_2_2020-09-30_01-15-52_167__rank008__p0.964__313.30-316.20.wav,C:\py\pigsound\pig-sound-classification\det_round4_clips\reviewed\other_clean\pig_whistle_squeal\ALA_E_2_2020-09-29_23-57-46_617__rank015__p0.982__317.90-319.80.wav,5.0
C:\py\pigsound\pig-sound-classification\data\augmented\round4_noise_mix_v2\cough\mix_00038__snr10__cough_ALA_000347_oldv1_rank076_p0.687_src150.30-151.30_clip150.30-151.30__noise_ALA_E_2_2020-09-30_00-33-49_105__rank020__p0.902__248.70-251.00.wav,cough,noise_mixed_cough,C:\py\pigsound\pig-sound-classification\det_round1_clips\cough_clean\ALA_000347_oldv1_rank076_p0.687_src150.30-151.30_clip150.30-151.30.wav,C:\py\pigsound\pig-sound-classification\det_round4_clips\reviewed\other_clean\equipment\ALA_E_2_2020-09-30_00-33-49_105__rank020__p0.902__248.70-251.00.wav,10.0
C:\py\pigsound\pig-sound-classification\data\augmented\round4_noise_mix_v2\cough\mix_00039__snr0__cough_ALA_000347_oldv1_rank066_p0.709_src47.20-48.20_clip47.20-48.20__noise_ALA_E_2_2020-09-30_01-27-52_851__rank004__p0.961__299.40-301.50.wav,cough,noise_mixed_cough,C:\py\pigsound\pig-sound-classification\det_round1_clips\cough_clean\ALA_000347_oldv1_rank066_p0.709_src47.20-48.20_clip47.20-48.20.wav,C:\py\pigsound\pig-sound-classification\det_round4_clips\reviewed\other_clean\equipment\ALA_E_2_2020-09-30_01-27-52_851__rank004__p0.961__299.40-301.50.wav,0.0
C:\py\pigsound\pig-sound-classification\data\augmented\round4_noise_mix_v2\cough\mix_00040__snr10__cough_ALA_E_2_2020-09-29_23-57-46_617__rank004__p0.998__353.60-356.80__noise_ALA_000347_rank061_p0.755_src191.70-192.70_clip191.70-192.70.wav,cough,noise_mixed_cough,C:\py\pigsound\pig-sound-classification\det_round4_clips\reviewed\cough_clean\ALA_E_2_2020-09-29_23-57-46_617__rank004__p0.998__353.60-356.80.wav,C:\py\pigsound\pig-sound-classification\det_round1_clips\other_clean\ALA_000347_rank061_p0.755_src191.70-192.70_clip191.70-192.70.wav,10.0
C:\py\pigsound\pig-sound-classification\data\augmented\round4_noise_mix_v2\cough\mix_00041__snr5__cough_ALA_E_2_2020-09-30_01-03-51_362__rank004__p0.992__245.20-248.60__noise_ALA_E_2_2020-09-30_01-21-52_571__rank012__p0.911__92.80-95.30.wav,cough,noise_mixed_cough,C:\py\pigsound\pig-sound-classification\det_round4_clips\reviewed\cough_clean\ALA_E_2_2020-09-30_01-03-51_362__rank004__p0.992__245.20-248.60.wav,C:\py\pigsound\pig-sound-classification\det_round4_clips\reviewed\other_clean\fan_noise\ALA_E_2_2020-09-30_01-21-52_571__rank012__p0.911__92.80-95.30.wav,5.0
C:\py\pigsound\pig-sound-classification\data\augmented\round4_noise_mix_v2\cough\mix_00042__snr0__cough_ALA_000347_oldv1_rank021_p0.926_src275.40-276.40_clip275.40-276.40__noise_ALA_000347_oldv1_rank040_p0.852_src246.60-247.60_clip246.60-247.60.wav,cough,noise_mixed_cough,C:\py\pigsound\pig-sound-classification\det_round1_clips\cough_clean\ALA_000347_oldv1_rank021_p0.926_src275.40-276.40_clip275.40-276.40.wav,C:\py\pigsound\pig-sound-classification\det_round1_clips\other_clean\ALA_000347_oldv1_rank040_p0.852_src246.60-247.60_clip246.60-247.60.wav,0.0
C:\py\pigsound\pig-sound-classification\data\augmented\round4_noise_mix_v2\cough\mix_00043__snr10__cough_ALA_E_2_2020-09-29_23-57-46_617__rank001__p1.000__103.30-105.80__noise_ALA_E_2_2020-09-30_00-33-49_105__rank015__p0.916__67.30-68.90.wav,cough,noise_mixed_cough,C:\py\pigsound\pig-sound-classification\det_round4_clips\reviewed\cough_clean\ALA_E_2_2020-09-29_23-57-46_617__rank001__p1.000__103.30-105.80.wav,C:\py\pigsound\pig-sound-classification\det_round4_clips\reviewed\other_clean\pig_whistle_squeal\ALA_E_2_2020-09-30_00-33-49_105__rank015__p0.916__67.30-68.90.wav,10.0
